Sample File	C:\Users\EARL_Administrator\Desktop\OVERNIGHT THE REAL DEAL\Sucrose to Ammonium Sulfate\1. Sucrose pre mixing tube\Sucrose pre mixing.S80									
Classifier Model	3080									
DMA Model	3081									
DMA Inner Radius(cm)	0.00937									
DMA Outer Radius(cm)	0.01961									
DMA Characteristic Length(cm)	0.44369									
CPC Model	3776 Low Flow									
Reference Gas Viscosity (Pa*s)	1.83E-05									
Reference Mean Free Path (m)	6.73E-08									
Reference Gas Temperature (K)	296.15									
Reference Gas Pressure (kPa)	101.3									
Channels/Decade	64									
Multiple Charge Correction	FALSE									
Nanoparticle Aggregate Mobility Analysis	FALSE									
Diffusion Correction	FALSE									
Units	dw/dlogDp									
Weight	Number									
Sample #	1		2		3		4		5	
Date	9/4/21		9/4/21		9/4/21		9/4/21		9/4/21	
Start Time	13:11:24		13:13:42		13:15:57		13:18:12		13:20:27	
Diameter Midpoint										
13.5	10.117185	4	10.117185	0	10.117185	3	10.117185	1	10.117185	0
13.6	10.146762	3	10.146762	3	10.146762	2	10.146762	5	10.146762	0
13.7	10.176328	3	10.176328	4	10.176328	0	10.176328	2	10.176328	2
13.8	10.205881	1	10.205881	3	10.205881	2	10.205881	3	10.205881	4
13.9	10.235621	2	10.235621	1	10.235621	1	10.235621	3	10.235621	1
14	10.265548	2	10.265548	5	10.265548	0	10.265548	1	10.265548	2
14.1	10.295465	3	10.295465	3	10.295465	4	10.295465	3	10.295465	1
14.2	10.325369	3	10.325369	1	10.325369	3	10.325369	2	10.325369	1
14.3	10.355461	1	10.355461	2	10.355461	3	10.355461	5	10.355461	1
14.4	10.385744	3	10.385744	1	10.385744	2	10.385744	2	10.385744	3
14.5	10.416015	5	10.416015	5	10.416015	3	10.416015	3	10.416015	3
14.6	10.446376	5	10.446376	4	10.446376	2	10.446376	2	10.446376	1
14.7	10.476724	3	10.476724	3	10.476724	1	10.476724	2	10.476724	3
14.8	10.507263	3	10.507263	3	10.507263	1	10.507263	2	10.507263	1
14.9	10.537996	7	10.537996	3	10.537996	3	10.537996	5	10.537996	1
15	10.568718	7	10.568718	3	10.568718	3	10.568718	3	10.568718	2
15.1	10.599425	3	10.599425	5	10.599425	3	10.599425	2	10.599425	3
15.2	10.630327	3	10.630327	2	10.630327	3	10.630327	1	10.630327	5
15.3	10.661425	4	10.661425	3	10.661425	3	10.661425	3	10.661425	1
15.4	10.692511	2	10.692511	3	10.692511	2	10.692511	2	10.692511	1
15.5	10.723584	5	10.723584	5	10.723584	2	10.723584	3	10.723584	3
15.6	10.754852	3	10.754852	3	10.754852	3	10.754852	4	10.754852	3
15.7	10.78632	3	10.78632	2	10.78632	2	10.78632	6	10.78632	1
15.8	10.81767	3	10.81767	2	10.81767	2	10.81767	3	10.81767	3
15.9	10.849217	2	10.849217	4	10.849217	2	10.849217	5	10.849217	1
16	10.880963	4	10.880963	3	10.880963	1	10.880963	3	10.880963	3
16.1	10.912698	3	10.912698	4	10.912698	2	10.912698	4	10.912698	3
16.2	10.944421	3	10.944421	3	10.944421	2	10.944421	3	10.944421	3
16.3	10.976342	8	10.976342	3	10.976342	8	10.976342	4	10.976342	8
16.4	11.008466	4	11.008466	1	11.008466	3	11.008466	3	11.008466	1
16.5	11.040579	3	11.040579	3	11.040579	3	11.040579	5	11.040579	1
16.6	11.072677	11	11.072677	6	11.072677	5	11.072677	3	11.072677	3
16.7	11.104978	7	11.104978	5	11.104978	3	11.104978	4	11.104978	2
16.8	11.137485	5	11.137485	3	11.137485	3	11.137485	3	11.137485	0
16.9	11.16987	4	11.16987	5	11.16987	4	11.16987	6	11.16987	7
17	11.202459	4	11.202459	4	11.202459	3	11.202459	4	11.202459	3
17.1	11.235254	3	11.235254	5	11.235254	1	11.235254	3	11.235254	3
17.2	11.268037	5	11.268037	3	11.268037	3	11.268037	3	11.268037	1
17.3	11.300807	2	11.300807	7	11.300807	8	11.300807	6	11.300807	1
17.4	11.333893	4	11.333893	3	11.333893	4	11.333893	3	11.333893	3
17.5	11.366969	9	11.366969	9	11.366969	3	11.366969	7	11.366969	4
17.6	11.400032	5	11.400032	5	11.400032	7	11.400032	2	11.400032	5
